lemma,wortart,kompositum,genus,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
Filtertüte,Substantiv,1,f,Filtertüte,,,,,,,,,Filtertüten,,,,,,,,,Filtertüte,,,,,,,,,Filtertüten,,,,,,,,,Filtertüte,,,,,,,,,Filtertüten,,,,,,,,,Filtertüte,,,,,,,,,Filtertüten,,,,,,,,
Darmpolyp,Substantiv,1,m,Darmpolyp,,,,,,,,,Darmpolypen,,,,,,,,,Darmpolypen,,,,,,,,,Darmpolypen,,,,,,,,,Darmpolypen,,,,,,,,,Darmpolypen,,,,,,,,,Darmpolypen,,,,,,,,,Darmpolypen,,,,,,,,
Senf,Substantiv,,m,Senf,,,,,,,,,Senfe,,,,,,,,,Senfs,Senfes,,,,,,,,Senfe,,,,,,,,,Senf,Senfe,,,,,,,,Senfen,,,,,,,,,Senf,,,,,,,,,Senfe,,,,,,,,
Speerspitze,Substantiv,1,f,Speerspitze,,,,,,,,,Speerspitzen,,,,,,,,,Speerspitze,,,,,,,,,Speerspitzen,,,,,,,,,Speerspitze,,,,,,,,,Speerspitzen,,,,,,,,,Speerspitze,,,,,,,,,Speerspitzen,,,,,,,,
Sensor,Substantiv,,m,Sensor,,,,,,,,,Sensoren,,,,,,,,,Sensors,,,,,,,,,Sensoren,,,,,,,,,Sensor,,,,,,,,,Sensoren,,,,,,,,,Sensor,,,,,,,,,Sensoren,,,,,,,,
Mandarinenkern,Substantiv,1,m,Mandarinenkern,,,,,,,,,Mandarinenkerne,,,,,,,,,Mandarinenkernes,Mandarinenkerns,,,,,,,,Mandarinenkerne,,,,,,,,,Mandarinenkern,Mandarinenkerne,,,,,,,,Mandarinenkernen,,,,,,,,,Mandarinenkern,,,,,,,,,Mandarinenkerne,,,,,,,,
Mandarinenschale,Substantiv,1,f,Mandarinenschale,,,,,,,,,Mandarinenschalen,,,,,,,,,Mandarinenschale,,,,,,,,,Mandarinenschalen,,,,,,,,,Mandarinenschale,,,,,,,,,Mandarinenschalen,,,,,,,,,Mandarinenschale,,,,,,,,,Mandarinenschalen,,,,,,,,
Strohsack,Substantiv,1,m,Strohsack,,,,,,,,,Strohsäcke,,,,,,,,,Strohsackes,Strohsacks,,,,,,,,Strohsäcke,,,,,,,,,Strohsack,Strohsacke,,,,,,,,Strohsäcken,,,,,,,,,Strohsack,,,,,,,,,Strohsäcke,,,,,,,,
Faltschließe,Substantiv,,f,Faltschließe,,,,,,,,,Faltschließen,,,,,,,,,Faltschließe,,,,,,,,,Faltschließen,,,,,,,,,Faltschließe,,,,,,,,,Faltschließen,,,,,,,,,Faltschließe,,,,,,,,,Faltschließen,,,,,,,,
Alkoven,Substantiv,,m,Alkoven,,,,,,,,,Alkoven,,,,,,,,,Alkovens,,,,,,,,,Alkoven,,,,,,,,,Alkoven,,,,,,,,,Alkoven,,,,,,,,,Alkoven,,,,,,,,,Alkoven,,,,,,,,
Biberburg,Substantiv,1,f,Biberburg,,,,,,,,,Biberburgen,,,,,,,,,Biberburg,,,,,,,,,Biberburgen,,,,,,,,,Biberburg,,,,,,,,,Biberburgen,,,,,,,,,Biberburg,,,,,,,,,Biberburgen,,,,,,,,
Getränkemarkt,Substantiv,1,m,Getränkemarkt,,,,,,,,,Getränkemärkte,,,,,,,,,Getränkemarkts,Getränkemarktes,,,,,,,,Getränkemärkte,,,,,,,,,Getränkemarkt,,,,,,,,,Getränkemärkten,,,,,,,,,Getränkemarkt,,,,,,,,,Getränkemärkte,,,,,,,,
Filmsammlung,Substantiv,1,f,Filmsammlung,,,,,,,,,Filmsammlungen,,,,,,,,,Filmsammlung,,,,,,,,,Filmsammlungen,,,,,,,,,Filmsammlung,,,,,,,,,Filmsammlungen,,,,,,,,,Filmsammlung,,,,,,,,,Filmsammlungen,,,,,,,,
Jägerschnitzel,Substantiv,1,n,Jägerschnitzel,,,,,,,,,Jägerschnitzel,,,,,,,,,Jägerschnitzels,,,,,,,,,Jägerschnitzel,,,,,,,,,Jägerschnitzel,,,,,,,,,Jägerschnitzeln,,,,,,,,,Jägerschnitzel,,,,,,,,,Jägerschnitzel,,,,,,,,
Kontermine,Substantiv,,f,Kontermine,,,,,,,,,Konterminen,,,,,,,,,Kontermine,,,,,,,,,Konterminen,,,,,,,,,Kontermine,,,,,,,,,Konterminen,,,,,,,,,Kontermine,,,,,,,,,Konterminen,,,,,,,,
Kröte,Substantiv,,f,Kröte,,,,,,,,,Kröten,,,,,,,,,Kröte,,,,,,,,,Kröten,,,,,,,,,Kröte,,,,,,,,,Kröten,,,,,,,,,Kröte,,,,,,,,,Kröten,,,,,,,,
Banjo,Substantiv,,n,Banjo,,,,,,,,,Banjos,,,,,,,,,Banjos,,,,,,,,,Banjos,,,,,,,,,Banjo,,,,,,,,,Banjos,,,,,,,,,Banjo,,,,,,,,,Banjos,,,,,,,,
Lorbeerkirsche,Substantiv,1,f,Lorbeerkirsche,,,,,,,,,Lorbeerkirschen,,,,,,,,,Lorbeerkirsche,,,,,,,,,Lorbeerkirschen,,,,,,,,,Lorbeerkirsche,,,,,,,,,Lorbeerkirschen,,,,,,,,,Lorbeerkirsche,,,,,,,,,Lorbeerkirschen,,,,,,,,
Ionisationskammer,Substantiv,1,f,Ionisationskammer,,,,,,,,,Ionisationskammern,,,,,,,,,Ionisationskammer,,,,,,,,,Ionisationskammern,,,,,,,,,Ionisationskammer,,,,,,,,,Ionisationskammern,,,,,,,,,Ionisationskammer,,,,,,,,,Ionisationskammern,,,,,,,,
Inbusschlüssel,Substantiv,1,m,Inbusschlüssel,,,,,,,,,Inbusschlüssel,,,,,,,,,Inbusschlüssels,,,,,,,,,Inbusschlüssel,,,,,,,,,Inbusschlüssel,,,,,,,,,Inbusschlüsseln,,,,,,,,,Inbusschlüssel,,,,,,,,,Inbusschlüssel,,,,,,,,
Rohmilch,Substantiv,,f,Rohmilch,,,,,,,,,,,,,,,,,,Rohmilch,,,,,,,,,,,,,,,,,,Rohmilch,,,,,,,,,,,,,,,,,,Rohmilch,,,,,,,,,,,,,,,,,
Drehrestaurant,Substantiv,1,n,Drehrestaurant,,,,,,,,,Drehrestaurants,,,,,,,,,Drehrestaurants,,,,,,,,,Drehrestaurants,,,,,,,,,Drehrestaurant,,,,,,,,,Drehrestaurants,,,,,,,,,Drehrestaurant,,,,,,,,,Drehrestaurants,,,,,,,,
Katzenklavier,Substantiv,1,n,Katzenklavier,,,,,,,,,Katzenklaviere,,,,,,,,,Katzenklavieres,Katzenklaviers,,,,,,,,Katzenklaviere,,,,,,,,,Katzenklavier,Katzenklaviere,,,,,,,,Katzenklavieren,,,,,,,,,Katzenklavier,,,,,,,,,Katzenklaviere,,,,,,,,
Flugzeugmodell,Substantiv,1,n,Flugzeugmodell,,,,,,,,,Flugzeugmodelle,,,,,,,,,Flugzeugmodells,,,,,,,,,Flugzeugmodelle,,,,,,,,,Flugzeugmodell,,,,,,,,,Flugzeugmodellen,,,,,,,,,Flugzeugmodell,,,,,,,,,Flugzeugmodelle,,,,,,,,
Vöglein,Substantiv,,n,Vöglein,,,,,,,,,Vöglein,,,,,,,,,Vögleins,,,,,,,,,Vöglein,,,,,,,,,Vöglein,,,,,,,,,Vöglein,,,,,,,,,Vöglein,,,,,,,,,Vöglein,,,,,,,,
Axialventilator,Substantiv,1,m,Axialventilator,,,,,,,,,Axialventilatoren,,,,,,,,,Axialventilators,,,,,,,,,Axialventilatoren,,,,,,,,,Axialventilator,,,,,,,,,Axialventilatoren,,,,,,,,,Axialventilator,,,,,,,,,Axialventilatoren,,,,,,,,
Zigarette,Substantiv,,f,Zigarette,,,,,,,,,Zigaretten,,,,,,,,,Zigarette,,,,,,,,,Zigaretten,,,,,,,,,Zigarette,,,,,,,,,Zigaretten,,,,,,,,,Zigarette,,,,,,,,,Zigaretten,,,,,,,,
Impfpistole,Substantiv,1,f,Impfpistole,,,,,,,,,Impfpistolen,,,,,,,,,Impfpistole,,,,,,,,,Impfpistolen,,,,,,,,,Impfpistole,,,,,,,,,Impfpistolen,,,,,,,,,Impfpistole,,,,,,,,,Impfpistolen,,,,,,,,
Malstift,Substantiv,1,m,Malstift,,,,,,,,,Malstifte,,,,,,,,,Malstiftes,Malstifts,,,,,,,,Malstifte,,,,,,,,,Malstift,Malstifte,,,,,,,,Malstiften,,,,,,,,,Malstift,,,,,,,,,Malstifte,,,,,,,,
Holster,Substantiv,,n,Holster,,,,,,,,,Holster,,,,,,,,,Holsters,,,,,,,,,Holster,,,,,,,,,Holster,,,,,,,,,Holstern,,,,,,,,,Holster,,,,,,,,,Holster,,,,,,,,
