Senf,Substantiv,,m,Senf,,,,,,,,,Senfe,,,,,,,,,Senfs,Senfes,,,,,,,,Senfe,,,,,,,,,Senf,Senfe,,,,,,,,Senfen,,,,,,,,,Senf,,,,,,,,,Senfe,,,,,,,,
Abendnebel,Substantiv,1,m,Abendnebel,,,,,,,,,Abendnebel,,,,,,,,,Abendnebels,,,,,,,,,Abendnebel,,,,,,,,,Abendnebel,,,,,,,,,Abendnebeln,,,,,,,,,Abendnebel,,,,,,,,,Abendnebel,,,,,,,,
Vulpinsäure,Substantiv,,f,Vulpinsäure,,,,,,,,,,,,,,,,,,Vulpinsäure,,,,,,,,,,,,,,,,,,Vulpinsäure,,,,,,,,,,,,,,,,,,Vulpinsäure,,,,,,,,,,,,,,,,,
Pappelholz,Substantiv,1,n,Pappelholz,,,,,,,,,Pappelhölzer,,,,,,,,,Pappelholzes,,,,,,,,,Pappelhölzer,,,,,,,,,Pappelholz,Pappelholze,,,,,,,,Pappelhölzern,,,,,,,,,Pappelholz,,,,,,,,,Pappelhölzer,,,,,,,,
Rohmilch,Substantiv,,f,Rohmilch,,,,,,,,,,,,,,,,,,Rohmilch,,,,,,,,,,,,,,,,,,Rohmilch,,,,,,,,,,,,,,,,,,Rohmilch,,,,,,,,,,,,,,,,,
Bismut,Substantiv,,n,Bismut,,,,,,,,,,,,,,,,,,Bismuts,Bismutes,,,,,,,,,,,,,,,,,Bismut,Bismute,,,,,,,,,,,,,,,,,Bismut,,,,,,,,,,,,,,,,,
Würzsauce,Substantiv,,f,Würzsauce,,,,,,,,,Würzsaucen,,,,,,,,,Würzsauce,,,,,,,,,Würzsaucen,,,,,,,,,Würzsauce,,,,,,,,,Würzsaucen,,,,,,,,,Würzsauce,,,,,,,,,Würzsaucen,,,,,,,,
Maggi,"Substantiv,Eigenname",,n,Maggi,,,,,,,,,,,,,,,,,,Maggis,,,,,,,,,,,,,,,,,,Maggi,,,,,,,,,,,,,,,,,,Maggi,,,,,,,,,,,,,,,,,
Haargummi,Substantiv,1,,,,Haargummi,Haargummi,,,,,,Haargummis,,,,,,,,,,,Haargummis,Haargummis,,,,,,Haargummis,,,,,,,,,,,Haargummi,Haargummi,,,,,,Haargummis,,,,,,,,,,,Haargummi,Haargummi,,,,,,Haargummis,,,,,,,,
Hundekot,Substantiv,1,m,Hundekot,,,,,,,,,,,,,,,,,,Hundekots,Hundekotes,,,,,,,,,,,,,,,,,Hundekot,Hundekote,,,,,,,,,,,,,,,,,Hundekot,,,,,,,,,,,,,,,,,
Ilang-Ilang-Öl,Substantiv,,n,Ilang-Ilang-Öl,,,,,,,,,,,,,,,,,,Ilang-Ilang-Öls,,,,,,,,,,,,,,,,,,Ilang-Ilang-Öl,,,,,,,,,,,,,,,,,,Ilang-Ilang-Öl,,,,,,,,,,,,,,,,,
Carpaccio,Substantiv,,,,,Carpaccio,Carpaccio,,,,,,Carpaccios,,,,,,,,,,,Carpaccios,Carpaccios,,,,,,Carpaccios,,,,,,,,,,,Carpaccio,Carpaccio,,,,,,Carpaccios,,,,,,,,,,,Carpaccio,Carpaccio,,,,,,Carpaccios,,,,,,,,
Eierlikör,Substantiv,1,m,Eierlikör,,,,,,,,,Eierliköre,,,,,,,,,Eierlikörs,,,,,,,,,Eierliköre,,,,,,,,,Eierlikör,,,,,,,,,Eierlikören,,,,,,,,,Eierlikör,,,,,,,,,Eierliköre,,,,,,,,
Schutt,Substantiv,,m,Schutt,,,,,,,,,-,,,,,,,,,Schutts,Schuttes,,,,,,,,-,,,,,,,,,Schutt,,,,,,,,,-,,,,,,,,,Schutt,,,,,,,,,-,,,,,,,,
Hühnchenbrust,Substantiv,1,f,Hühnchenbrust,,,,,,,,,,,,,,,,,,Hühnchenbrust,,,,,,,,,,,,,,,,,,Hühnchenbrust,,,,,,,,,,,,,,,,,,Hühnchenbrust,,,,,,,,,,,,,,,,,
Kältespray,Substantiv,1,,,,Kältespray, Kältespray,,,,,, Kältesprays,,,,,,,,,,, Kältesprays, Kältesprays,,,,,, Kältesprays,,,,,,,,,,, Kältespray, Kältespray,,,,,, Kältesprays,,,,,,,,,,, Kältespray, Kältespray,,,,,, Kältesprays,,,,,,,,
Rapshonig,Substantiv,1,m,Rapshonig,,,,,,,,,Rapshonige,,,,,,,,,Rapshonigs,,,,,,,,,Rapshonige,,,,,,,,,Rapshonig,,,,,,,,,Rapshonigen,,,,,,,,,Rapshonig,,,,,,,,,Rapshonige,,,,,,,,
Rhabarbermarmelade,Substantiv,1,f,Rhabarbermarmelade,,,,,,,,,Rhabarbermarmeladen,,,,,,,,,Rhabarbermarmelade,,,,,,,,,Rhabarbermarmeladen,,,,,,,,,Rhabarbermarmelade,,,,,,,,,Rhabarbermarmeladen,,,,,,,,,Rhabarbermarmelade,,,,,,,,,Rhabarbermarmeladen,,,,,,,,
Ahornholz,Substantiv,1,n,Ahornholz,,,,,,,,,Ahornhölzer,,,,,,,,,Ahornholzes,,,,,,,,,Ahornhölzer,,,,,,,,,Ahornholz,Ahornholze,,,,,,,,Ahornhölzern,,,,,,,,,Ahornholz,,,,,,,,,Ahornhölzer,,,,,,,,
Zahngold,Substantiv,1,n,Zahngold,,,,,,,,,,,,,,,,,,Zahngolds,Zahngoldes,,,,,,,,,,,,,,,,,Zahngold,,,,,,,,,,,,,,,,,,Zahngold,,,,,,,,,,,,,,,,,
Naturgummi,Substantiv,1,,,,Naturgummi,Naturgummi,,,,,,Naturgummis,,,,,,,,,,,Naturgummis,Naturgummis,,,,,,Naturgummis,,,,,,,,,,,Naturgummi,Naturgummi,,,,,,Naturgummis,,,,,,,,,,,Naturgummi,Naturgummi,,,,,,Naturgummis,,,,,,,,
Heptan,Substantiv,1,n,Heptan,,,,,,,,,Heptane,,,,,,,,,Heptans,,,,,,,,,Heptane,,,,,,,,,Heptan,,,,,,,,,Heptanen,,,,,,,,,Heptan,,,,,,,,,Heptane,,,,,,,,
Altkunststoff,Substantiv,1,m,Altkunststoff,,,,,,,,,Altkunststoffe,,,,,,,,,Altkunststoffes,Altkunststoffs,,,,,,,,Altkunststoffe,,,,,,,,,Altkunststoff,Altkunststoffe,,,,,,,,Altkunststoffen,,,,,,,,,Altkunststoff,,,,,,,,,Altkunststoffe,,,,,,,,
Anis,Substantiv,,m,Anis,,,,,,,,,Anise,,,,,,,,,Anis,Anises,,,,,,,,Anise,,,,,,,,,Anis,,,,,,,,,Anisen,,,,,,,,,Anis,,,,,,,,,Anise,,,,,,,,
Sauerrahm,Substantiv,,m,Sauerrahm,,,,,,,,,,,,,,,,,,Sauerrahmes,Sauerrahms,,,,,,,,,,,,,,,,,Sauerrahm,Sauerrahme,,,,,,,,,,,,,,,,,Sauerrahm,,,,,,,,,,,,,,,,,
Barchent,Substantiv,,m,Barchent,,,,,,,,,Barchente,,,,,,,,,Barchents,,,,,,,,,Barchente,,,,,,,,,Barchent,,,,,,,,,Barchenten,,,,,,,,,Barchent,,,,,,,,,Barchente,,,,,,,,
Disulfiram,Substantiv,,n,Disulfiram,,,,,,,,,-,,,,,,,,,Disulfirams,,,,,,,,,-,,,,,,,,,Disulfiram,,,,,,,,,-,,,,,,,,,Disulfiram,,,,,,,,,-,,,,,,,,
Biotin,Substantiv,,n,Biotin,,,,,,,,,,,,,,,,,,Biotins,,,,,,,,,,,,,,,,,,Biotin,,,,,,,,,,,,,,,,,,Biotin,,,,,,,,,,,,,,,,,
Aktinium,Substantiv,,n,Aktinium,,,,,,,,,,,,,,,,,,Aktiniums,,,,,,,,,,,,,,,,,,Aktinium,,,,,,,,,,,,,,,,,,Aktinium,,,,,,,,,,,,,,,,,
Sandpapier,Substantiv,1,n,Sandpapier,,,,,,,,,Sandpapiere,,,,,,,,,Sandpapiers,Sandpapieres,,,,,,,,Sandpapiere,,,,,,,,,Sandpapier,,,,,,,,,Sandpapieren,,,,,,,,,Sandpapier,,,,,,,,,Sandpapiere,,,,,,,,
Hühnchen,Substantiv,,n,Hühnchen,,,,,,,,,Hühnchen,,,,,,,,,Hühnchens,,,,,,,,,Hühnchen,,,,,,,,,Hühnchen,,,,,,,,,Hühnchen,,,,,,,,,Hühnchen,,,,,,,,,Hühnchen,,,,,,,,
Teesahne,Substantiv,1,f,Teesahne,,,,,,,,,,,,,,,,,,Teesahne,,,,,,,,,,,,,,,,,,Teesahne,,,,,,,,,,,,,,,,,,Teesahne,,,,,,,,,,,,,,,,,
Pferdemilch,Substantiv,1,f,Pferdemilch,,,,,,,,,,,,,,,,,,Pferdemilch,,,,,,,,,,,,,,,,,,Pferdemilch,,,,,,,,,,,,,,,,,,Pferdemilch,,,,,,,,,,,,,,,,,
Hohlziegel,Substantiv,1,m,Hohlziegel,,,,,,,,,Hohlziegel,,,,,,,,,Hohlziegels,,,,,,,,,Hohlziegel,,,,,,,,,Hohlziegel,,,,,,,,,Hohlziegeln,,,,,,,,,Hohlziegel,,,,,,,,,Hohlziegel,,,,,,,,
Schiffsdiesel,Substantiv,1,m,Schiffsdiesel,,,,,,,,,Schiffsdiesel,,,,,,,,,Schiffsdiesels,,,,,,,,,Schiffsdiesel,,,,,,,,,Schiffsdiesel,,,,,,,,,Schiffsdieseln,,,,,,,,,Schiffsdiesel,,,,,,,,,Schiffsdiesel,,,,,,,,
Druckfarbe,Substantiv,1,f,Druckfarbe,,,,,,,,,Druckfarben,,,,,,,,,Druckfarbe,,,,,,,,,Druckfarben,,,,,,,,,Druckfarbe,,,,,,,,,Druckfarben,,,,,,,,,Druckfarbe,,,,,,,,,Druckfarben,,,,,,,,
Honig,Substantiv,,m,Honig,,,,,,,,,Honige,,,,,,,,,Honigs,,,,,,,,,Honige,,,,,,,,,Honig,,,,,,,,,Honigen,,,,,,,,,Honig,,,,,,,,,Honige,,,,,,,,
Knorpel,Substantiv,,m,Knorpel,,,,,,,,,Knorpel,,,,,,,,,Knorpels,,,,,,,,,Knorpel,,,,,,,,,Knorpel,,,,,,,,,Knorpeln,,,,,,,,,Knorpel,,,,,,,,,Knorpel,,,,,,,,
Icosensäure,Substantiv,,f,Icosensäure,,,,,,,,,,,,,,,,,,Icosensäure,,,,,,,,,,,,,,,,,,Icosensäure,,,,,,,,,,,,,,,,,,Icosensäure,,,,,,,,,,,,,,,,,
Nudelsalat,Substantiv,1,m,Nudelsalat,,,,,,,,,Nudelsalate,,,,,,,,,Nudelsalats,Nudelsalates,,,,,,,,Nudelsalate,,,,,,,,,Nudelsalat,Nudelsalate,,,,,,,,Nudelsalaten,,,,,,,,,Nudelsalat,,,,,,,,,Nudelsalate,,,,,,,,
