Abbruchhammer,Substantiv,"Abbruch,abbrechen,Hammer",m,Abbruchhammer,,,,,,,,,Abbruchhämmer,,,,,,,,,Abbruchhammers,,,,,,,,,Abbruchhämmer,,,,,,,,,Abbruchhammer,,,,,,,,,Abbruchhämmern,,,,,,,,,Abbruchhammer,,,,,,,,,Abbruchhämmer,,,,,,,,
Abisolierzange,Substantiv,,f,Abisolierzange,,,,,,,,,Abisolierzangen,,,,,,,,,Abisolierzange,,,,,,,,,Abisolierzangen,,,,,,,,,Abisolierzange,,,,,,,,,Abisolierzangen,,,,,,,,,Abisolierzange,,,,,,,,,Abisolierzangen,,,,,,,,
Abzieher,Substantiv,,m,Abzieher,,,,,,,,,Abzieher,,,,,,,,,Abziehers,,,,,,,,,Abzieher,,,,,,,,,Abzieher,,,,,,,,,Abziehern,,,,,,,,,Abzieher,,,,,,,,,Abzieher,,,,,,,,
Ahle,Substantiv,,f,Ahle,,,,,,,,,Ahlen,,,,,,,,,Ahle,,,,,,,,,Ahlen,,,,,,,,,Ahle,,,,,,,,,Ahlen,,,,,,,,,Ahle,,,,,,,,,Ahlen,,,,,,,,
Aluleiter,Substantiv,"Alu,Leiter",f,Aluleiter,,,,,,,,,Aluleitern,,,,,,,,,Aluleiter,,,,,,,,,Aluleitern,,,,,,,,,Aluleiter,,,,,,,,,Aluleitern,,,,,,,,,Aluleiter,,,,,,,,,Aluleitern,,,,,,,,
Amboss,Substantiv,,m,Amboss,,,,,,,,,Ambosse,,,,,,,,,Ambosses,,,,,,,,,Ambosse,,,,,,,,,Amboss,Ambosse,,,,,,,,Ambossen,,,,,,,,,Amboss,,,,,,,,,Ambosse,,,,,,,,
Anschlagwinkel,Substantiv,,m,Anschlagwinkel,,,,,,,,,Anschlagwinkel,,,,,,,,,Anschlagwinkels,,,,,,,,,Anschlagwinkel,,,,,,,,,Anschlagwinkel,,,,,,,,,Anschlagwinkeln,,,,,,,,,Anschlagwinkel,,,,,,,,,Anschlagwinkel,,,,,,,,
Axt,Substantiv,,f,Axt,,,,,,,,,Äxte,,,,,,,,,Axt,,,,,,,,,Äxte,,,,,,,,,Axt,,,,,,,,,Äxten,,,,,,,,,Axt,,,,,,,,,Äxte,,,,,,,,
Baggerschaufel,Substantiv,"Bagger,Schaufel",f,Baggerschaufel,,,,,,,,,Baggerschaufeln,,,,,,,,,Baggerschaufel,,,,,,,,,Baggerschaufeln,,,,,,,,,Baggerschaufel,,,,,,,,,Baggerschaufeln,,,,,,,,,Baggerschaufel,,,,,,,,,Baggerschaufeln,,,,,,,,
Baumsäge,Substantiv,"Baum,Säge",f,Baumsäge,,,,,,,,,Baumsägen,,,,,,,,,Baumsäge,,,,,,,,,Baumsägen,,,,,,,,,Baumsäge,,,,,,,,,Baumsägen,,,,,,,,,Baumsäge,,,,,,,,,Baumsägen,,,,,,,,
